run_name,scene,width,height,rays_per_pixel,stack,sampling_mode,carrier_family,carrier_strength,carrier_frequency,depth_wavelength,attenuation_per_meter,angle_count,angle_schedule,phase_code,combine_mode,edge_fusion_mode,threshold_quantile,pilot_rays,seed,notes,scene_name,coverage,carrier_coords_count,L_ref,true_edge_mean_raw,true_edge_mean_fused,false_edge_mean_raw,false_edge_mean_fused,stripe_score_raw,stripe_score_fused,edge_mask_frac,edge_precision_on_truth,objective_score,runtime_seconds,contact_path
freq_2x_golden4,tiny_outdoor,120,80,2,1,halton,directional,0.2,2.0,0.5,0.05,4,golden_angle,constant,median,blended,0.95,1200,0,double carrier frequency,tiny_outdoor,0.985,4,1000000000.0,0.5771432149712634,0.3550752489268533,0.5689660189235621,0.2867976835727993,0.04651393500463636,0.02347724142559655,0.05002115059221658,0.3055555555555556,-0.04970955496562315,1.1711316108703613,runs/freq_2x_golden4/freq_2x_golden4_contact.png
cross_median_blended,tiny_outdoor,120,80,2,1,halton,directional,0.2,1.0,0.5,0.05,4,fixed_cross,constant,median,blended,0.95,1200,0,4-angle median,tiny_outdoor,0.985,4,1000000000.0,0.5882543311892087,0.3791512101693788,0.5639378010907056,0.30169284190621326,0.06016588028913143,0.03220479185504249,0.05002115059221658,0.2986111111111111,-0.05228772029529101,1.192032814025879,runs/cross_median_blended/cross_median_blended_contact.png
cross_trim_blended,tiny_outdoor,120,80,2,1,halton,directional,0.2,1.0,0.5,0.05,4,fixed_cross,constant,trimmed_mean,blended,0.95,1200,0,trimmed combine,tiny_outdoor,0.985,4,1000000000.0,0.5882543311892087,0.3791512101693788,0.5639378010907056,0.30169284190621326,0.06016588028913143,0.03220479185504249,0.05002115059221658,0.2986111111111111,-0.05228772029529101,1.0288870334625244,runs/cross_trim_blended/cross_trim_blended_contact.png
random_phase_golden4,tiny_outdoor,120,80,2,1,halton,directional,0.2,1.0,0.5,0.05,4,golden_angle,random_seeded,median,blended,0.95,1200,0,random phase code,tiny_outdoor,0.985,4,1000000000.0,0.595648865995154,0.37526932209074454,0.5708682618900405,0.30085072330711626,0.05424184176857624,0.028603391680101523,0.05002115059221658,0.3125,-0.052331698133938606,1.7422454357147217,runs/random_phase_golden4/random_phase_golden4_contact.png
golden8_blended,tiny_outdoor,120,80,2,1,halton,directional,0.2,1.0,0.5,0.05,8,golden_angle,constant,median,blended,0.95,1200,0,golden-angle 8 directions,tiny_outdoor,0.985,8,1000000000.0,0.5609611468502615,0.3593822323086898,0.5610688594203181,0.2999792313559052,0.043818852584304235,0.02343610295879577,0.05002115059221658,0.2986111111111111,-0.06316680724087906,1.666630506515503,runs/golden8_blended/golden8_blended_contact.png
barker_golden4,tiny_outdoor,120,80,2,1,halton,directional,0.2,1.0,0.5,0.05,4,golden_angle,barker_like,median,blended,0.95,1200,0,Barker-like phase code,tiny_outdoor,0.985,4,1000000000.0,0.5773909189057345,0.3647533470712952,0.570542166106921,0.3009736880632649,0.055017736441826656,0.029026206780117463,0.05002115059221658,0.2916666666666667,-0.06333078689920058,1.588890790939331,runs/barker_golden4/barker_golden4_contact.png
directional_y_blended,tiny_outdoor,120,80,2,1,halton,directional,0.2,1.0,0.5,0.05,1,single_y,constant,median,blended,0.95,1200,0,y axis carrier,tiny_outdoor,0.985,1,1000000000.0,0.5961849298533981,0.34559602795224537,0.5896447865727605,0.28539953891707587,0.06609315489743932,0.03199104275521965,0.05002115059221658,0.3333333333333333,-0.0636866316522218,1.056863784790039,runs/directional_y_blended/directional_y_blended_contact.png
mixed_blended,tiny_outdoor,120,80,2,1,halton,mixed,0.2,1.0,0.5,0.05,4,golden_angle,constant,median,blended,0.95,1200,0,directions + radial,tiny_outdoor,0.985,5,1000000000.0,0.5583348944111047,0.32703683928729216,0.5681761464491483,0.27809708984832104,0.0532943106334445,0.02608839231829453,0.05002115059221658,0.2777777777777778,-0.0679605262466622,1.1289808750152588,runs/mixed_blended/mixed_blended_contact.png
golden6_blended,tiny_outdoor,120,80,2,1,halton,directional,0.2,1.0,0.5,0.05,6,golden_angle,constant,median,blended,0.95,1200,0,golden-angle 6 directions,tiny_outdoor,0.985,6,1000000000.0,0.5487251813324722,0.34551394614658953,0.5641251457837714,0.29553949978043065,0.046899961428104604,0.024576173380403042,0.05002115059221658,0.2847222222222222,-0.07189650859229416,1.6156418323516846,runs/golden6_blended/golden6_blended_contact.png
freq_half_golden4,tiny_outdoor,120,80,2,1,halton,directional,0.2,0.5,0.5,0.05,4,golden_angle,constant,median,blended,0.95,1200,0,half carrier frequency,tiny_outdoor,0.985,4,1000000000.0,0.5733547950004451,0.35267988732701105,0.5954929072182881,0.3005312239713975,0.05790099450030485,0.02921601895424625,0.05002115059221658,0.3194444444444444,-0.07494927925006024,1.0055649280548096,runs/freq_half_golden4/freq_half_golden4_contact.png
strength_low_golden4,tiny_outdoor,120,80,2,1,halton,directional,0.1,1.0,0.5,0.05,4,golden_angle,constant,median,blended,0.95,1200,0,low strength,tiny_outdoor,0.985,4,1000000000.0,0.5733547950004451,0.35267988732701105,0.5954929072182881,0.3005312239713975,0.05790099450030485,0.02921601895424625,0.05002115059221658,0.3194444444444444,-0.07494927925006024,1.1060857772827148,runs/strength_low_golden4/strength_low_golden4_contact.png
golden4_blended,tiny_outdoor,120,80,2,1,halton,directional,0.2,1.0,0.5,0.05,4,golden_angle,constant,median,blended,0.95,1200,0,golden-angle 4 directions,tiny_outdoor,0.985,4,1000000000.0,0.5504394333980412,0.3226487542451431,0.5768244093079571,0.2823302590730605,0.04895350995249752,0.023965803696963783,0.05002115059221658,0.2847222222222222,-0.07647144827621141,1.1432020664215088,runs/golden4_blended/golden4_blended_contact.png
chirp_golden4,tiny_outdoor,120,80,2,1,halton,directional,0.2,1.0,0.5,0.05,4,golden_angle,chirp_lfm,median,blended,0.95,1200,0,chirp-like phase offset,tiny_outdoor,0.985,4,1000000000.0,0.5335121997257024,0.32193249796652534,0.5740576013898735,0.2873102437115702,0.04986642340989042,0.02497188652017295,0.05002115059221658,0.2847222222222222,-0.08466524593422417,1.1889607906341553,runs/chirp_golden4/chirp_golden4_contact.png
strength_high_golden4,tiny_outdoor,120,80,2,1,halton,directional,0.35,1.0,0.5,0.05,4,golden_angle,constant,median,blended,0.95,1200,0,high strength,tiny_outdoor,0.985,4,1000000000.0,0.576525700416604,0.3773180692803241,0.6131764429457756,0.33033582428356995,0.05799469477235382,0.03122930256635061,0.05002115059221658,0.3055555555555556,-0.09205727042725832,1.1891396045684814,runs/strength_high_golden4/strength_high_golden4_contact.png
directional_x_raw,tiny_outdoor,120,80,2,1,halton,directional,0.2,1.0,0.5,0.05,1,single_x,constant,median,raw,0.95,1200,0,legacy x-ish raw anti,tiny_outdoor,0.985,1,1000000000.0,0.6226835091592263,0.6226835091592263,0.5439687255253934,0.5439687255253934,0.07653851045850787,0.07653851045850787,0.077834179357022,0.14583333333333334,-0.16907815314393573,1.0974674224853516,runs/directional_x_raw/directional_x_raw_contact.png
checker_blended,tiny_outdoor,120,80,2,1,halton,checker,0.2,1.0,0.5,0.05,1,single_x,constant,median,blended,0.95,1200,0,checker phase cells,tiny_outdoor,0.985,1,1000000000.0,0.5536435145702256,0.32638376185876145,0.7898370462117501,0.38656314844958717,0.11732154381398037,0.05737602716395612,0.05002115059221658,0.3125,-0.2385085089211484,1.057396411895752,runs/checker_blended/checker_blended_contact.png
baseline_none_raw,tiny_outdoor,120,80,2,1,halton,none,0.0,1.0,0.5,0.05,1,single_x,constant,median,raw,0.95,1200,0,no carrier baseline,tiny_outdoor,0.985,1,1000000000.0,0.6052935430489114,0.6052935430489114,0.9136025076975379,0.9136025076975379,0.08635539948584198,0.08635539948584198,0.07688240270727581,0.14583333333333334,-0.6928363919571464,8.341623783111572,runs/baseline_none_raw/baseline_none_raw_contact.png
