run_id,scene,preset,beam_width,gate,count,frac_of_hit_px,hit_pixels,partial_occluder_frac_of_hit_px,solid_surface_frac_of_hit_px,uncertain_frac_of_hit_px
1,demo,beam_return_debug,0.55,valid_return_candidate,1238,0.24057520404197436,5146,0.04197434900893898,0.4168286047415468,0.37640886125145745
1,demo,beam_return_debug,0.55,split_candidate,175,0.03400699572483482,5146,0.04197434900893898,0.4168286047415468,0.37640886125145745
1,demo,beam_return_debug,0.55,front_back_candidate,543,0.10551884959191606,5146,0.04197434900893898,0.4168286047415468,0.37640886125145745
1,demo,beam_return_debug,0.55,gap_candidate,309,0.060046638165565484,5146,0.04197434900893898,0.4168286047415468,0.37640886125145745
1,demo,beam_return_debug,0.55,gap_ratio_candidate,575,0.11173727166731443,5146,0.04197434900893898,0.4168286047415468,0.37640886125145745
1,demo,beam_return_debug,0.55,back_ratio_candidate,543,0.10551884959191606,5146,0.04197434900893898,0.4168286047415468,0.37640886125145745
1,demo,beam_return_debug,0.55,excess_candidate,522,0.10143801010493587,5146,0.04197434900893898,0.4168286047415468,0.37640886125145745
1,demo,beam_return_debug,0.55,coherent_guard_candidate,730,0.14185775359502525,5146,0.04197434900893898,0.4168286047415468,0.37640886125145745
1,demo,beam_return_debug,0.55,partial_candidate,165,0.032063738826272836,5146,0.04197434900893898,0.4168286047415468,0.37640886125145745
1,demo,beam_return_debug,0.55,geom_edge_candidate,412,0.08006218422075398,5146,0.04197434900893898,0.4168286047415468,0.37640886125145745
1,demo,beam_return_debug,0.55,coherence_solid_candidate,1048,0.20365332296929653,5146,0.04197434900893898,0.4168286047415468,0.37640886125145745
1,demo,beam_return_debug,0.55,split_or_back_candidate,543,0.10551884959191606,5146,0.04197434900893898,0.4168286047415468,0.37640886125145745
1,demo,beam_return_debug,0.55,partial_geom_overlap_candidate,26,0.005052467936261173,5146,0.04197434900893898,0.4168286047415468,0.37640886125145745
2,occluder_gate,beam_return_debug,0.55,valid_return_candidate,1314,0.2502857142857143,5250,0.037333333333333336,0.42914285714285716,0.4377142857142857
2,occluder_gate,beam_return_debug,0.55,split_candidate,161,0.030666666666666665,5250,0.037333333333333336,0.42914285714285716,0.4377142857142857
2,occluder_gate,beam_return_debug,0.55,front_back_candidate,320,0.06095238095238095,5250,0.037333333333333336,0.42914285714285716,0.4377142857142857
2,occluder_gate,beam_return_debug,0.55,gap_candidate,193,0.03676190476190476,5250,0.037333333333333336,0.42914285714285716,0.4377142857142857
2,occluder_gate,beam_return_debug,0.55,gap_ratio_candidate,513,0.09771428571428571,5250,0.037333333333333336,0.42914285714285716,0.4377142857142857
2,occluder_gate,beam_return_debug,0.55,back_ratio_candidate,320,0.06095238095238095,5250,0.037333333333333336,0.42914285714285716,0.4377142857142857
2,occluder_gate,beam_return_debug,0.55,excess_candidate,393,0.07485714285714286,5250,0.037333333333333336,0.42914285714285716,0.4377142857142857
2,occluder_gate,beam_return_debug,0.55,coherent_guard_candidate,851,0.1620952380952381,5250,0.037333333333333336,0.42914285714285716,0.4377142857142857
2,occluder_gate,beam_return_debug,0.55,partial_candidate,144,0.027428571428571427,5250,0.037333333333333336,0.42914285714285716,0.4377142857142857
2,occluder_gate,beam_return_debug,0.55,geom_edge_candidate,420,0.08,5250,0.037333333333333336,0.42914285714285716,0.4377142857142857
2,occluder_gate,beam_return_debug,0.55,coherence_solid_candidate,1119,0.21314285714285713,5250,0.037333333333333336,0.42914285714285716,0.4377142857142857
2,occluder_gate,beam_return_debug,0.55,split_or_back_candidate,320,0.06095238095238095,5250,0.037333333333333336,0.42914285714285716,0.4377142857142857
2,occluder_gate,beam_return_debug,0.55,partial_geom_overlap_candidate,55,0.010476190476190476,5250,0.037333333333333336,0.42914285714285716,0.4377142857142857
